year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude
1953,1062,"Trieste, Italy","Trieste, Italy",13.7768,45.6495
1953,1225,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798
1953,1344,Japan-South Korea Border (Territorial Waters),Midpoint of shared (territorial water) border,129.143,34.7672
1953,2000,Indonesia (Papua [ADM1] and Irian Jaya Barat [ADM1]),Centroid of > ADM1,137.326,-4.03131
1953,2001,Burma (Shan State [ADM1]),Centroid of ADM1,98.1269,21.722
1953,2018,Myanmar-Thailand Border,Midpoint of shared (national) border,98.7793,16.3433
1953,2035,"Seoul, South Korea","Seoul, South Korea",126.978,37.5665
1953,2036,Taiwan Strait,Taiwan Strait,119.698,24.6581
1953,2121,Cordillera del Condor,Cordillera del Condor,-78.5,-4
1953,2984,"Pearl Estuary, China","Pearl Estuary, China",113.622,22.7694
1953,2988,Taiwan Strait,Taiwan Strait,119.698,24.6581
1953,3203,Taiwan Strait,Taiwan Strait,119.698,24.6581
1953,3207,"Kuril Islands, Russia","Kuril Islands, Russia",150.971,47.1544
1953,3208,China Territorial Waters,Centroid of territorial waters,120.175,25.5996
1953,3373,Gaza Strip,Gaza Strip,34.3088,31.3547
1953,3417,Israel-Syria Southern Demilitarized Zone,Centroid of Southern DMZ,35.6386,32.7364
1953,3428,Israel-Syria Central Demilitarized Zone,Centroid of Central DMZ,35.6206,33.0035
1954,1073,India (Goa [ADM1]),Centroid of ADM1,74.0574,15.3597
1954,1156,Rio Putumayo,Midpoint of river,-72.9506,-2.40738
1954,1193,Costa Rica-Nicaragua Border,Midpoint of shared (national) border,-84.6307,11.0617
1954,1345,Takeshima Islands,Takeshima Islands,131.868,37.2427
1954,1448,Taiwan Strait,Taiwan Strait,119.698,24.6581
1954,2023,Thailand (Tak [ADM1]),Centroid of ADM1,98.7911,16.715
1954,2033,South China Sea,South China Sea,114.405,15.4881
1954,2034,South China Sea,South China Sea,114.405,15.4881
1954,2089,Niti Pass,Niti Pass,79.8756,30.9667
1954,2244,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093
1954,2987,Taiwan Strait,Taiwan Strait,119.698,24.6581
1954,3205,Adriatic Sea,Adriatic Sea,17.2903,41.8551
1954,3209,"Berne, Switzerland","Berne, Switzerland",7.44745,46.948
1954,3210,Finland-Russia Border,Midpoint of shared (national) border,30.12,64.7844
1954,3403,Israel-Syria Northern Demilitarized Zone,Centroid of Northern DMZ,35.6701,33.2342
1954,3404,Israel-Syria Northern Demilitarized Zone,Centroid of Northern DMZ,35.6701,33.2342
1954,3415,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833
1955,200,Egypt-Israel Border,Midpoint of shared (national) border,34.6071,30.3694
1955,1098,"Alto Palena, Chile","Palena, Chile",-71.8,-43.6167
1955,1300,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1955,1305,Pakistan (Northwest Frontier Province [ADM1]),Centroid of ADM1,72.0483,34.4208
1955,1346,Japan-South Korea Border (Territorial Waters),Midpoint of shared (territorial water) border,129.143,34.7672
1955,2024,Thailand (Tak [ADM1]),Centroid of ADM1,98.7911,16.715
1955,2032,"Seoul, South Korea","Seoul, South Korea",126.978,37.5665
1955,2037,Taiwan Strait,Taiwan Strait,119.698,24.6581
1955,2090,Niti Pass,Niti Pass,79.8756,30.9667
1955,2847,Japan-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095
1955,3154,Syria-Turkey Border,Midpoint of shared (national) border,38.6869,36.7241
1955,3155,Syria-Turkey Border,Midpoint of shared (national) border,38.6869,36.7241
1955,3211,China Territorial Waters,Centroid of territorial waters,120.175,25.5996
1955,3213,Yellow Sea,Yellow Sea,123.796,35.4943
1955,3214,Baltic Sea,Baltic Sea,19.8633,58.488
1955,3216,Albania Territorial Waters,Centroid of territorial waters,19.34,40.8251
1955,3218,"Riyadh, Saudi Arabia","Riyadh, Saudi Arabia",46.6753,24.7136
1955,3219,Bulgaria,Centroid of ADM0,25.2315,42.7614
1955,3242,Ecuador Territorial Waters,Centroid of territorial waters,-80.8282,-0.5294
1955,3243,Peru Territorial Waters,Centroid of territorial waters,-78.7418,-9.0983
1955,3405,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833
1955,3416,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833
1955,3418,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833
1956,53,Taiwan Strait,Taiwan Strait,119.698,24.6581
1956,185,"Warsaw, Poland","Warsaw, Poland",21.0122,52.2297
1956,259,Aden-Yemen Border,Midpoint of shared (national) border,45.0333,12.8
1956,605,Burma (Shan State [ADM1]),Centroid of ADM1,98.1269,21.722
1956,606,"Budapest, Hungary","Budapest, Hungary",19.0402,47.4979
1956,1214,Cambodia-South Vietnam Border (Territorial Waters),Midpoint of shared (territorial water) border,103.091,9.52125
1956,1301,Rann of Kutch,Rann of Kutch,70.1456,24.0454
1956,2092,Niti Pass,Niti Pass,79.8756,30.9667
1956,2181,Afghanistan-Pakistan Border,Midpoint of shared (national) border,69.227,31.8695
1956,2627,India (Punjab [ADM1]),Centroid of ADM1,75.4088,30.8415
1956,2986,Taiwan Strait,Taiwan Strait,119.698,24.6581
1956,3221,"Amoy, China","Amoy, China",118.089,24.4798
1956,3225,Norway Territorial Waters,Centroid of territorial waters,11.0058,65.7203
1957,607,Jordan-Syria Border,Midpoint of shared (national) border,37.2119,32.5325
1957,1013,Gulf of Aqaba,Gulf of Aqaba,34.7299,28.6929
1957,1024,Indonesia (Papua [ADM1] and Irian Jaya Barat [ADM1]),Centroid of > ADM1,137.326,-4.03131
1957,1117,"Tan Tan, Morocco","Tan Tan, Morocco",-11.0987,28.438
1957,1173,Honduras-Nicaragua Border,Midpoint of shared (national) border,-85.4934,14.082
1957,1706,Algeria-Tunisia Border,Midpoint of shared (national) border,7.56266,33.6687
1957,2025,India-Myanmar Border,Midpoint of shared (national) border,94.5781,25.2131
1957,2042,Costa Rica-Nicaragua Border,Midpoint of shared (national) border,-84.6307,11.0617
1957,2049,Taiwan Strait,Taiwan Strait,119.698,24.6581
1957,2849,"Prague, Czech Republic","Prague, Czech Republic",14.4378,50.0755
1957,2850,"New Dheli, India","New Dheli, India",77.209,28.6139
1957,3230,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683
1957,3375,"Sinai, Egypt","Sinai, Egypt",34,29.5
1958,125,Suez Canal,Timsah Lake,32.2909,30.5735
1958,173,Taiwan Strait,Taiwan Strait,119.698,24.6581
1958,608,"Berlin, Germany","Berlin, Germany",13.405,52.52
1958,1091,"Lake Nuba, Sudan","Lake Nuba, Sudan",32.1973,22.7395
1958,1099,Beagle Channel,Beagle Channel,-67.8349,-54.8899
1958,1124,Mexico-Guatemala Border,Midpoint of shared (national) border,-90.6733,16.6674
1958,1215,Cambodia (Svay Reing [ADM1]),Centroid of ADM1,105.861,11.1569
1958,1226,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798
1958,1302,India (Assam [ADM1]),Centroid of ADM1,92.8295,26.3574
1958,1347,Japan-South Korea Border (Territorial Waters),Midpoint of shared (territorial water) border,129.143,34.7672
1958,1350,"Viangchan, Laos","Viangchan, Laos",102.633,17.9757
1958,1707,Aksai Chin,Aksai Chin,79.1321,35.0314
1958,2038,Hong Kong Island,Hong Kong Island,114.191,22.2588
1958,2079,"Alto Palena, Chile","Palena, Chile",-71.8,-43.6167
1958,2187,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093
1958,2215,"Yerevan, Armenia","Yerevan, Armenia",44.4991,40.1792
1958,2216,Baltic Sea,Baltic Sea,19.8633,58.488
1958,2331,"Basra, Iraq","Basra, Iraq",47.7835,30.5081
1958,2332,Iraq-Turkey Border,Midpoint of shared (national) border,43.7267,37.2257
1958,2852,Japan-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095
1958,2853,China Territorial Waters,Centroid of territorial waters,120.175,25.5996
1958,2854,"Berlin, Germany","Berlin, Germany",13.405,52.52
1958,2855,"Berlin, Germany","Berlin, Germany",13.405,52.52
1958,2857,"Tirana, Albania","Tirana, Albania",19.8187,41.3275
1958,2858,"Tirana, Albania","Tirana, Albania",19.8187,41.3275
1958,2865,North Sea,North Sea,3.51563,56.511
1958,3151,Jordan-Syria Border,Midpoint of shared (national) border,37.2119,32.5325
1958,3152,Syria-Turkey Border,Midpoint of shared (national) border,38.6869,36.7241
1958,3419,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833
1958,3420,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833
1959,148,China-Nepal Border,Midpoint of shared (national) border,84.5921,28.7093
1959,203,"Lang-Chiu, India","Lang-Chiu, India",93.55,28.6333
1959,1100,Beagle Channel,Beagle Channel,-67.8349,-54.8899
1959,1138,Shatt-al-Arab,Midpoint of river,48.0287,30.4622
1959,1208,Apipe Grande Island,Apipe Grande Island,-56.8536,-27.5075
1959,1369,Burma-Pakistan Border,Midpoint of shared (national) border,92.5799,21.2779
1959,1708,China-Myanmar Border,Midpoint of shared (national) border,97.559,23.927
1959,1709,South Korea Territorial Waters,Centroid of mainland territorial waters,127.333,33.9046
1959,1796,Algeria-Tunisia Border,Midpoint of shared (national) border,7.56266,33.6687
1959,2732,Cambodia (Svay Reing [ADM1]),Centroid of ADM1,105.861,11.1569
1959,2838,Japan-South Korea Border (Territorial Waters),Midpoint of shared (territorial water) border,129.143,34.7672
1959,2841,Myanmar-Thailand Border,Midpoint of shared (national) border,98.7793,16.3433
1959,2859,Taiwan Strait,Taiwan Strait,119.698,24.6581
1959,2860,Brazil Territorial Waters,Centroid of territorial waters,-39.2861,-18.0191
1959,2861,Kuril Islands,Kuril Islands,150.971,47.1544
1959,2862,Paracel Islands,Paracel Islands,112.25,16.5
1959,2863,"Luzon, Philippines","Luzon, Philippines",121.263,16.5662
1959,2869,"Karachi, Pakistan","Karachi, Pakistan",67.0099,24.8615
1959,2871,Iranian Coastline (Caspian),Midpoint of coastline,51.6802,36.6202
1959,2996,Syria-Turkey Border,Midpoint of shared (national) border,38.6869,36.7241
1959,2997,Iraq-Syria Border,Midpoint of shared (national) border,41.2236,34.8775
1959,2998,Iraq-Syria Border,Midpoint of shared (national) border,41.2236,34.8775
1959,2999,Jordan-Syria Border,Midpoint of shared (national) border,37.2119,32.5325
1959,3150,Jordan-Syria Border,Midpoint of shared (national) border,37.2119,32.5325
1959,3231,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683
1959,3421,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833
1959,3430,Israel-Syria Central Demilitarized Zone,Centroid of Central DMZ,35.6206,33.0035
1960,246,Cuba,Centroid of ADM0,-79.0364,21.6212
1960,253,Afghanistan-Russia (Tajikistan [ADM1]),Midpoint of shared (subnational) border,71.3779,37.9037
1960,1021,Indonesia (Papua [ADM1] and Irian Jaya Barat [ADM1]),Centroid of > ADM1,137.326,-4.03131
1960,1101,"Palena, Chile","Palena, Chile",-71.8,-43.6167
1960,1303,Pakistan (Northwest Frontier Province [ADM1]),Centroid of ADM1,72.0483,34.4208
1960,1321,Congo-DRC Border,Midpoint of shared (national) border,16.2501,-2.10784
1960,1363,"China, Laos, Vietnam Border",Intersection of multiple borders,102.141,22.3963
1960,1423,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067
1960,1710,"Inchon, South Korea","Inchon, South Korea",126.705,37.4563
1960,1711,Algeria-Tunisia Border,Midpoint of shared (national) border,7.56266,33.6687
1960,1746,"Saidia, Morocco","Saidia, Morocco",-2.28766,35.0999
1960,1797,Nepal (Northwest [> ADM1]),Centroid of > ADM1,81.8585,29.085
1960,2002,"Harbin, China","Harbin, China",126.535,45.8038
1960,2028,Mekong River,Midpoint of river,105.871,14.6024
1960,2029,Laos-North Vietnam Border,Midpoint of shared (national) border,104.845,19.8309
1960,2610,"Kinshasa, DRC","Kinshasa, DRC",15.2663,-4.44193
1960,2612,"Kinshasa, DRC","Kinshasa, DRC",15.2663,-4.44193
1960,2731,"Quan Phu Quac, Vietnam","Quan Phu Quac, Vietnam",103.984,10.2899
1960,2873,Kuril Islands,Kuril Islands,150.971,47.1544
1960,2875,Iceland,Centroid of ADM0,-18.6055,64.9976
1960,2876,Austria-West Germany Border,Midpoint of shared (national) border,9.59932,47.5319
1960,2877,Austria-Italy Border,Midpoint of shared (national) border,12.215,47.0873
1960,2878,Austria-Hungary Border,Midpoint of shared (national) border,16.6784,47.5965
1960,2885,India-Pakistan Border,Midpoint of shared (national) border,70.4596,24.4126
1960,3162,Jordan-Syria Border,Midpoint of shared (national) border,37.2119,32.5325
1960,3360,"Kon Tum, Vietnam","Kon Tum, Vietnam",107.839,14.6612
1960,3422,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833
1961,27,"Berlin, Germany","Berlin, Germany",13.405,52.52
1961,28,"Bizerte, Tunisia","Bizerte, Tunisia",9.86272,37.2746
1961,122,Iraq-Kuwait Border,Midpoint of shared (national) border,47.0836,29.8809
1961,199,India (Arunachal Pradesh [ADM1]),Centroid of ADM1,94.6767,28.039
1961,1074,India (Goa [ADM1]),Centroid of ADM1,74.0574,15.3597
1961,1227,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798
1961,1304,Pakistan (Northwest Frontier Province [ADM1]),Centroid of ADM1,72.0483,34.4208
1961,1387,Guinea-Senegal Border,Midpoint of shared (national) border,-12.615,12.4098
1961,1799,Sea of Japan,Sea of Japan,135,38.8488
1961,1801,Dominican Republic Territorial Waters,Centroid of territorial waters,-70.0869,18.1209
1961,1900,Faroe Islands,Faroe Islands,-6.91181,61.8926
1961,2219,"Berlin, Germany","Berlin, Germany",13.405,52.52
1961,2744,"Ouidah, Benin","Ouidah, Benin",2.07632,6.37165
1961,2880,"Arsila, Morocco","Arsila, Morocco",-6.03087,35.4646
1961,2882,Kuril Islands,Kuril Islands,150.971,47.1544
1961,2884,China-North Vietnam Border (Territorial Waters),Midpoint of shared (territorial water) border,108.096,21.4494
1961,2887,"Ifni, Morocco","Ifni, Morocco",-10.1759,29.3701
1961,3361,North Vietnam,Midpoint of coastline,104.094,19.2248
1961,3406,Israel-Syria Northern Demilitarized Zone,Centroid of Northern DMZ,35.6701,33.2342
1961,3434,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833
1962,61,Cuba-United States Border (Territorial Waters),Midpoint along shortest line between territorial waters,-81.9004,23.8593
1962,172,Taiwan Strait,Taiwan Strait,119.698,24.6581
1962,610,Saudi Arabia-North Yemen Border,Midpoint of shared (national) border,44.5422,17.3755
1962,1018,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683
1962,1083,Algeria (Bechar [ADM1] and Tindouf [ADM1]),Centroid of > ADM1,-4.24893,28.8933
1962,1108,Saudi Arabia-North Yemen Border,Midpoint of shared (national) border,44.5422,17.3755
1962,1123,Iraq-Turkey Border,Midpoint of shared (national) border,43.7267,37.2257
1962,1209,Pilcomayo River,Midpoint of river,-62.6244,-22.2771
1962,1228,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798
1962,1310,India (Assam [ADM1] and Tripura [ADM1]),Centroid of > ADM1,92.7042,26.0562
1962,1353,Laos-North Vietnam Border,Midpoint of shared (national) border,104.845,19.8309
1962,1410,Mali-Mauritania Border,Midpoint of shared (national) border,-5.64396,16.8928
1962,1418,Ghana-Togo Border,Midpoint of shared (national) border,0.393728,8.72793
1962,1466,India-Nepal Border,Midpoint of shared (national) border,83.9121,27.4494
1962,2188,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093
1962,2344,Honduras-Nicaragua Border,Midpoint of shared (national) border,-85.4934,14.082
1962,2629,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1962,2730,Cambodia (Svay Reing [ADM1]),Centroid of ADM1,105.861,11.1569
1962,2888,"Hokkaido, Japan","Hokkaido, Japan",142.552,43.3857
1962,2890,Guinea-Guinea Bissau Border,Midpoint of shared (national) border,-13.8519,11.671
1962,3163,"Kars, Turkey","Kars, Turkey",43.0975,40.6013
1962,3165,Syria-Turkey Border,Midpoint of shared (national) border,38.6869,36.7241
1962,3244,Peru Territorial Waters,Centroid of territorial waters,-78.7418,-9.0983
1963,624,"Cayenne, French Guiana","Cayenne, French Guiana",-52.3135,4.92242
1963,1002,Dominican Republic Territorial Waters,Centroid of territorial waters,-70.0869,18.1209
1963,1019,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683
1963,1070,Indonesia-Malaysia Border,Midpoint of shared (national) border,114.183,1.45234
1963,1084,Algeria-Morocco Border,Midpoint of shared (national) border,-3.81331,31.2712
1963,1102,Beagle Channel,Beagle Channel,-67.8349,-54.8899
1963,1279,"Nicosia, Cyprus","Nicosia, Cyprus",33.3823,35.1856
1963,1317,India (Tripura [ADM1]),Centroid of ADM1,91.7436,23.7468
1963,1407,Benin-Nigeria Border,Midpoint of shared (national) border,3.13833,9.21593
1963,1425,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067
1963,1426,Pakistan (Northwest Frontier Province [ADM1]),Centroid of ADM1,72.0483,34.4208
1963,1803,Ecuador Territorial Waters,Centroid of territorial waters,-80.8282,-0.5294
1963,2157,"Behan, Iran","Behan, Iran",52.4056,35.7863
1963,2218,"Berlin, Germany","Berlin, Germany",13.405,52.52
1963,2623,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798
1963,2630,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1963,2729,"Quan Phu Quoe, Vietnam","Quan Phu Quoe, Vietnam",103.967,10.2305
1963,2892,Taiwan Strait,Taiwan Strait,119.698,24.6581
1963,2894,"Halmahera, Indonesia","Halmahera, Indonesia",128.485,1.31212
1963,2897,Iran (Northern [> ADM1]),Centroid of > ADM1,52.376,36.1117
1963,2898,"Prague, Czech Republic","Prague, Czech Republic",14.4378,50.0755
1963,2899,Bering Strait,Bering Strait,-168.395,65.8938
1963,3166,Lebanon-Syria Border,Midpoint of shared (national) border,36.3348,33.9818
1963,3167,Lebanon-Syria Border,Midpoint of shared (national) border,36.3348,33.9818
1963,3377,Egypt-Israel Border,Midpoint of shared (national) border,34.6071,30.3694
1964,92,Libreville,"Libreville, Gabon",9.46727,0.416198
1964,611,North Vietnam,Midpoint of coastline,104.094,19.2248
1964,623,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715
1964,1213,Cambodia-South Vietnam Border,Midpoint of shared (national) border,106.041,11.774
1964,1229,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798
1964,1312,India (Jammu and Kashmir [ADM1]),Centroid of ADM1,76.6126,33.7594
1964,1361,Burundi-Rwanda Border,Midpoint of shared (national) border,29.872,-2.74158
1964,1379,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093
1964,2031,Mekong River,Midpoint of river,105.871,14.6024
1964,2080,"Alto Palena, Chile","Palena, Chile",-71.8,-43.6167
1964,2153,"Al Mukalla, Yemen","Al Mukalla, Yemen",49.1272,14.5404
1964,2220,"Berlin, Germany","Berlin, Germany",13.405,52.52
1964,2707,China-Russia Border,Point along shared noncontiguous border nearest midpoint of contiguous border including neighbors,116.711,49.8305
1964,2901,Black Sea,Black Sea,34.2993,43.413
1964,2904,Indonesia Territorial Waters,Point along Territorial Waters boundary nearest centroid of noncontiguous Territorial Waters,120.221,1.23538
1964,2906,"Cairo, Egypt","Cairo, Egypt",31.2357,30.0444
1964,2907,Sweden Territorial Waters,Centroid of mainland territorial waters,17.3734,57.276
1964,2908,"Bonn, Germany","Bonn, Germany",7.09821,50.7374
1964,3378,"Sinai, Egypt","Sinai, Egypt",34,29.5
1965,1017,"Beirut, Lebanon","Beirut, Lebanon",35.5018,33.8938
1965,1216,Cambodia-South Vietnam Border,Midpoint of shared (national) border,106.041,11.774
1965,1319,DRC-Uganda Border,Midpoint of shared (national) border,30.5205,1.28653
1965,1328,Congo-DRC Border,Midpoint of shared (national) border,16.2501,-2.10784
1965,1366,Kenya-Uganda Border,Midpoint of shared (national) border,34.9566,1.58421
1965,1419,Ghana-Togo Border,Midpoint of shared (national) border,0.393728,8.72793
1965,1463,India-Nepal Border,Midpoint of shared (national) border,83.9121,27.4494
1965,1608,"Alto Palena, Chile","Palena, Chile",-71.8,-43.6167
1965,1804,Zambia-Zimbabwe Border,Midpoint of shared (national) border,27.813,-16.9759
1965,2066,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067
1965,2106,Iran (Kordestan [ADM1]),Centroid of ADM1,46.9615,35.7181
1965,2171,"Nicosia, Cyprus","Nicosia, Cyprus",33.3823,35.1856
1965,2172,"Nicosia, Cyprus","Nicosia, Cyprus",33.3823,35.1856
1965,2360,Saudi Arabia-North Yemen Border,Midpoint of shared (national) border,44.5422,17.3755
1965,2631,Rann of Kutch,Rann of Kutch,70.1456,24.0454
1965,2708,Mongolia,Centroid of ADM0,103.083,46.8353
1965,2913,Indonesia Territorial Waters,Point along Territorial Waters boundary nearest centroid of noncontiguous Territorial Waters,120.221,1.23538
1965,2914,Banda Sea,Banda Sea,126.609,-5.70394
1965,2915,"Bonn, Germany","Bonn, Germany",7.09821,50.7374
1965,2916,Sea of Japan,Sea of Japan,135,38.8488
1965,2929,South China Sea,South China Sea,114.405,15.4881
1965,3168,Syria-Turkey Border,Midpoint of shared (national) border,38.6869,36.7241
1965,3169,Turkey (Cukurca [ADM2]),Centroid of ADM2,43.6758,37.3013
1966,343,Amur River,Midpoint of river,132.169,47.6919
1966,1035,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833
1966,1109,Saudi Arabia-North Yemen Border,Midpoint of shared (national) border,44.5422,17.3755
1966,1166,Anacoco Island,Anacoco Island,-61.1436,6.72528
1966,1322,Chad (Oaddai [ADM1])-Sudan Border,Midpoint of shared (subnational) border,22.2591,13.3246
1966,1351,Guinea-Ivory Coast Border,Midpoint of shared (national) border,-7.67512,8.5036
1966,1392,Angola-Zambia Border,Midpoint of shared (national) border,21.9969,-13.4962
1966,1401,Caprivi Strip,Caprivi Strip,22.5689,-17.9802
1966,1408,"Accra, Ghana","Accra, Ghana",-0.186964,5.60372
1966,1713,"Beijing, China","Beijing, China",116.407,39.9042
1966,2067,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067
1966,2107,Iran (Kordestan [ADM1]),Centroid of ADM1,46.9615,35.7181
1966,2155,Saudi Arabia-Yemen Border,Midpoint of shared (national) border,44.5422,17.3755
1966,2632,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1966,2891,"Matsu Tao, China","Matsu Tao, China",119.931,26.1499
1966,2918,"Singapore, Singapore","Singapore, Singapore",103.82,1.35208
1966,2919,South Korea Territorial Waters,Centroid of mainland territorial waters,127.333,33.9046
1966,2920,Yellow Sea,Yellow Sea,123.796,35.4943
1966,2921,"Heringen, Germany","Heringen, Germany",9.99839,50.8944
1966,3135,"Beira, Mozambique","Beira, Mozambique",34.8845,-19.7964
1966,3171,Jordan-Syria Border,Midpoint of shared (national) border,37.2119,32.5325
1966,3379,"Sinai, Egypt","Sinai, Egypt",34,29.5
1966,3412,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833
1967,1067,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683
1967,1115,Venezuela,Midpoint of coastline,-63.8722,10.6422
1967,1217,Cambodia-South Vietnam Border,Midpoint of shared (national) border,106.041,11.774
1967,1230,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798
1967,1280,Cyprus,Centroid of ADM0,33.2218,35.0459
1967,1343,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1967,1352,Guinea-Ivory Coast Border,Midpoint of shared (national) border,-7.67512,8.5036
1967,1378,Ethiopia-Kenya-Somalia Border,"Intersection of Ethiopia, Kenya, and Somalia borders",41.9052,3.98032
1967,1422,Ethiopia-Sudan Border,Midpoint of shared (national) border,34.8118,10.7249
1967,1480,Israel-Egypt Border,Midpoint of shared (national) border,32.3016,30.9629
1967,1609,Beagle Channel,Beagle Channel,-67.8349,-54.8899
1967,1715,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715
1967,1805,Ecuador Territorial Waters,Centroid of territorial waters,-80.8282,-0.5294
1967,2097,"Beijing, China","Beijing, China",116.407,39.9042
1967,2710,"Dairen, China","Dairen, China",121.615,38.914
1967,2931,Greece (Crete [ADM1]),Centroid of ADM1,24.8447,35.2293
1967,2932,Baltic Sea,Baltic Sea,19.8633,58.488
1967,2933,Shetland Islands,Shetland Islands,-1.26594,60.5297
1967,2934,Russia-United States Border (Territorial Waters),Midpoint of shortest distance between territorial waters,-171.985,64.0926
1967,2935,China (Eastern [> ADM1]),Centroid of > ADM1,117.929,39.8904
1967,3170,Gulf of Aqaba,Gulf of Aqaba,34.7299,28.6929
1967,3172,Iraq-Kuwait Border,Midpoint of shared (national) border,47.0836,29.8809
1967,3446,Golan Heights,Golan Heights,35.7844,33.0156
1968,346,Czechoslovakia-Russia Border,Midpoint of shared (national) border,22.3523,48.7316
1968,347,Sea of Japan,Sea of Japan,135,38.8488
1968,1051,Israel-Lebanon Border,Midpoint of shared (national) border,35.5057,33.1118
1968,1069,"Algiers, Algeria","Algiers, Algeria",3.05876,36.7538
1968,1072,Sabah,"Sabah, Iraq",43.3683,35.3125
1968,1400,"Lusaka, Zambia","Lusaka, Zambia",28.3228,-15.3875
1968,1403,Sudan-Uganda Border,Midpoint of shared (national) border,32.314,3.68445
1968,1462,"Susta, Latvia","Susta, Latvia",21.3318,56.4724
1968,1610,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798
1968,1806,Cambodia-South Vietnam Border,Midpoint of shared (national) border,106.041,11.774
1968,1807,Ghana Territorial Waters,Centroid of territorial waters,-0.943057,5.10273
1968,2711,China-Russia Border,Point along shared noncontiguous border nearest midpoint of contiguous border including neighbors,116.711,49.8305
1968,2922,Venezuela Territorial Waters,Centroid of territorial waters,-68.9193,11.5478
1968,2923,Brazil Territorial Waters,Centroid of territorial waters,-39.2861,-18.0191
1968,2924,Red Sea,Red Sea,38.5126,20.2802
1968,2925,Kuril Islands,Kuril Islands,150.971,47.1544
1968,2926,Hong Kong Island,Hong Kong Island,114.191,22.2588
1968,2927,Argentina Territorial Waters,Centroid of territorial waters,-62.5692,-41.0919
1968,2940,Venezuela Territorial Waters,Centroid of territorial waters,-68.9193,11.5478
1968,3300,Gulf of Thailand,Gulf of Thailand,101.343,9.71212
1968,3447,Golan Heights,Golan Heights,35.7844,33.0156
1969,349,Amur River,Midpoint of river,132.169,47.6919
1969,350,Peru Territorial Waters,Centroid of territorial waters,-78.7418,-9.0983
1969,352,"Rangoon, Burma","Rangoon, Burma",96.1951,16.8661
1969,1110,"al Wadiah, Saudi Arabia","al Wadiah, Saudi Arabia",47.0972,17.0854
1969,1136,Shatt-al-Arab,Midpoint of river,48.0287,30.4622
1969,1172,"Timoteo Dominguez Key, Uruguay","Timoteo Dominguez Key, Uruguay",-58.2137,-33.5376
1969,1206,El Salvador-Honduras Border,Midpoint of shared (national) border,-88.3707,13.8792
1969,1323,Central African Republic-Chad Border,Midpoint of shared (national) border,18.9736,8.95296
1969,1325,Congo-DRC Border,Midpoint of shared (national) border,16.2501,-2.10784
1969,1326,"Cabinda, Angola","Cabinda, Angola",12.1927,-5.57752
1969,1360,Cambodia (Eastern [> ADM1]),Centroid of > ADM1,106.617,13.2301
1969,1385,Guinea Bissau-Senegal Border,Midpoint of shared (national) border,-15.2665,12.6561
